basisOfRecord,commonName,country,county,decimalLatitude,decimalLongitude,eventDate,family,genus,habitat,locality,month,occurrenceRemarks,order,phylum,recordedBy,recordId,references,scientificName,specificEpithet,state,taxonID,year,day
PreservedSpecimen,Yarrow,United States,Ottawa,36.961624,-94.782394,6/12/1958,Asteraceae,Achillea,Prairie area.,Quapaw; 0.5 mi NE on US 66,6,,Asterales,Magnoliophyta,Charles S Wallis,urn:uuid:b7b73076-d823-4c59-ba42-12c73c445265,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22664468,Achillea millefolium subsp. lanulosa,millefolium,Oklahoma,11102,1958,12
PreservedSpecimen,Yarrow,United States,Blaine,36.0871,-98.31667,5/26/1974,Asteraceae,Achillea,Roadside along wheat field. Sandy soil.,Okeene; 2 mi S,5,Abundant,Asterales,Magnoliophyta,Steve Stephens,urn:uuid:2fb294ca-93f7-41c3-8d4d-a415a29047b0,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22670564,Achillea millefolium subsp. lanulosa,millefolium,Oklahoma,11102,1974,26
PreservedSpecimen,Yarrow,United States,Tillman,34.28636,-98.68417,5/12/1968,Asteraceae,Achillea,Upland prairie pasture. Heavily pastured. Sandy; rocky soil.,Grandfield; 4 mi N,5,,Asterales,Magnoliophyta,Steve Stephens,urn:uuid:5ccd5a6c-7589-4378-8216-5ed14e4594d0,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22676935,Achillea millefolium subsp. lanulosa,millefolium,Oklahoma,11102,1968,12
PreservedSpecimen,Yarrow,United States,Okfuskee,35.391992,-96.123002,6/2/1969,Asteraceae,Achillea,Plants of oak-grassland prairie.,Weleetka; 4 mi N along Hwy 75,6,Flowers white.,Asterales,Magnoliophyta,K Crook; M Crook,urn:uuid:5707c68d-7dda-4399-96e0-684c896368b4,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22686711,Achillea millefolium subsp. lanulosa,millefolium,Oklahoma,11102,1969,2
PreservedSpecimen,Yarrow,United States,Garfield,36.20598,-97.58611,5/26/1974,Asteraceae,Achillea,Prairie roadside right of way. Sandy soil,Covington; 7 mi S,5,Abundant,Asterales,Magnoliophyta,Steve Stephens,urn:uuid:b06cf9dd-26a8-4033-baef-86093e72cfda,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22691703,Achillea millefolium subsp. lanulosa,millefolium,Oklahoma,11102,1974,26
PreservedSpecimen,Yarrow,United States,Cherokee,35.811992,-95.196633,6/2/1958,Asteraceae,Achillea,Prairie area.,Fort Gibson; 1 mi N; 3 mi E on State 10,6,,Asterales,Magnoliophyta,Charles S Wallis,urn:uuid:d5f5b308-2d7b-4d1d-a103-db676e6f3b88,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22692314,Achillea millefolium subsp. lanulosa,millefolium,Oklahoma,11102,1958,2
PreservedSpecimen,Yarrow,United States,Payne,36.11554,-97.12988,5/6/1969,Asteraceae,Achillea,Roadside.,Stillwater; 4 mi W,5,,Asterales,Magnoliophyta,Nelson Ehrlich,urn:uuid:fbc97ffb-2635-4f93-bcaf-255d19d998d2,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22696266,Achillea millefolium subsp. lanulosa,millefolium,Oklahoma,11102,1969,6
PreservedSpecimen,Yarrow,United States,McIntosh,35.388744,-95.600392,6/3/1969,Asteraceae,Achillea,Plants of fallow field on upland ridge; red sandy clay soil.,Between 2 arms of Lake Eufaula; entrance to Fountainhead Lodge; 10 mi S of Checotah,6,Flowers white.,Asterales,Magnoliophyta,K Crook; M Crook,urn:uuid:9df24cf7-4904-49c0-a056-74d7f73e7aaf,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22701149,Achillea millefolium subsp. lanulosa,millefolium,Oklahoma,11102,1969,3
PreservedSpecimen,Yarrow,United States,Garfield,36.3728,-98.03556,5/9/1968,Asteraceae,Achillea,Prairie; at bank of small creek. Sandy soil,Drummond; 5 mi N,5,,Asterales,Magnoliophyta,Steve Stephens,urn:uuid:65948ba6-04b5-49de-b448-faf055b30688,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22709015,Achillea millefolium subsp. lanulosa,millefolium,Oklahoma,11102,1968,9
PreservedSpecimen,Yarrow,United States,Washington,36.9265,-95.9621,5/28/1974,Asteraceae,Achillea,Prairie hilltop. Rocky; sandstone; clay soil.,Copan; 2 mi W & 2 mi N,5,Abundant,Asterales,Magnoliophyta,Steve Stephens,urn:uuid:d02ebb56-51df-4c25-91c5-be298ac8e013,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22709733,Achillea millefolium subsp. lanulosa,millefolium,Oklahoma,11102,1974,28
PreservedSpecimen,Yarrow,United States,Muskogee,35.797488,-95.196633,6/2/1958,Asteraceae,Achillea,Prairie area.,Fort Gibson; 3 mi E on State 10,6,,Asterales,Magnoliophyta,Charles S Wallis,urn:uuid:73cd504a-1fc8-46ab-9bb4-50341cb1ddb9,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22712462,Achillea millefolium subsp. lanulosa,millefolium,Oklahoma,11102,1958,2
PreservedSpecimen,Yarrow,United States,Delaware,36.637319,-94.70769,6/12/1958,Asteraceae,Achillea,Prairie area.,Grove; 3 mi N; 3 mi E on State 10,6,,Asterales,Magnoliophyta,Charles S Wallis,urn:uuid:445462bc-c384-4118-bca8-d3960e6aae03,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22716099,Achillea millefolium subsp. lanulosa,millefolium,Oklahoma,11102,1958,12
PreservedSpecimen,Yarrow,United States,Cleveland,35.243636,-97.427837,5/8/1979,Asteraceae,Achillea,,Sutton Urban Wilderness Area; city of Norman,5,"Flowers white, flowers just opening.",Asterales,Magnoliophyta,T A Zanoni,urn:uuid:d3873bd2-0778-49e6-9056-f662dc1208b7,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22744299,Achillea millefolium subsp. lanulosa,millefolium,Oklahoma,11102,1979,8
PreservedSpecimen,Hairy dozedaisy,United States,Cotton,34.19583,-98.57218,5/12/1968,Asteraceae,Aphanostephus,Upland prairie pasture. Dry; sandy; red soil.,Devol; 1 mi E,5,Common.,Asterales,Magnoliophyta,Steve Stephens,urn:uuid:93f1e3a9-712c-4b12-b49d-73679700fafd,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22475627,Aphanostephus pilosus,pilosus,Oklahoma,17889,1968,12
PreservedSpecimen,Hairy dozedaisy,United States,Cotton,34.19583,-98.57218,5/12/1968,Asteraceae,Aphanostephus,Upland prairie pasture. Dry; sandy; gravel; red soil.,Devol; 1 mi E,5,Common.,Asterales,Magnoliophyta,Steve Stephens,urn:uuid:fe19f31a-d8cd-4fcd-85a7-bc0e88e39907,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22483626,Aphanostephus pilosus,pilosus,Oklahoma,17889,1968,12
PreservedSpecimen,Hairy dozedaisy,United States,Caddo,35.07244,-98.3674,5/11/1968,Asteraceae,Aphanostephus,Open prairie pasture. Dry; sandy; red soil.,Anadarko; 7 mi W,5,Rare.,Asterales,Magnoliophyta,Steve Stephens,urn:uuid:6bbebecf-f4df-42e6-995d-f61895d8ddc0,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22489555,Aphanostephus pilosus,pilosus,Oklahoma,17889,1968,11
PreservedSpecimen,Hairy dozedaisy,United States,Harmon,34.5216,-99.70139,5/15/1968,Asteraceae,Aphanostephus,Prairie roadside right of way. Dry; sandy; gravel soil.,McQueen; 10 mi S,5,Common.,Asterales,Magnoliophyta,Steve Stephens,urn:uuid:7b347c4f-d3bc-4314-a889-c7e36f0d35e7,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22526307,Aphanostephus pilosus,pilosus,Oklahoma,17889,1968,15
PreservedSpecimen,Plains dozedaisy,United States,Jackson,34.47192,-99.57739,5/13/1950,Asteraceae,Aphanostephus,Edge of field in prairie.,Eldorado; 4 mi E,5,,Asterales,Magnoliophyta,U T Waterfall,urn:uuid:bd863a4e-4563-413a-a3e4-657eaff6e874,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22532091,Aphanostephus ramosissimus var. ramosissimus,ramosissimus,Oklahoma,72370,1950,13
PreservedSpecimen,Plains dozedaisy,United States,Tillman,34.28636,-98.68417,5/12/1968,Asteraceae,Aphanostephus,Prairie roadside right of way. Dry; sandy; red soil.,Grandfield; 4 mi N,5,Common.,Asterales,Magnoliophyta,Steve Stephens,urn:uuid:110692c0-5974-4d8d-b1a2-e6f984143356,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22677158,Aphanostephus ramosissimus var. ramosissimus,ramosissimus,Oklahoma,72370,1968,12
PreservedSpecimen,Arkansas dozedaisy,U.S.A.,Roger Mills County,35.53833333,-99.71777778,5/31/2001,Asteraceae,Aphanostephus,,Thurmond Ranch; 2.5 miles W of Cheyenne,5,,Asterales,Magnoliophyta,Morse; Caleb; Craig C. Freeman,urn:uuid:5f601481-f06e-41cd-842e-8f24b3dbaa66,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22002101,Aphanostephus skirrhobasis,skirrhobasis,Oklahoma,17891,2001,31
Physical specimen,Arkansas dozedaisy,United States,Dewey County,36.08,-98.56,5/5/2005,Asteraceae,Aphanostephus,Roadside area.,US Hwy 60/OK 51; just W of Seiling,5,,Asterales,Magnoliophyta,W.W. Holland,urn:uuid:37239e42-e039-40da-a6d0-8de0ad78ed07,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22886931,Aphanostephus skirrhobasis,skirrhobasis,Oklahoma,17891,2005,5
PreservedSpecimen,Arkansas dozedaisy,United States,Dewey,36.04586,-98.96333,8/13/1968,Asteraceae,Aphanostephus,Flood plain of Canadian River. Dry; sandy soil.,Taloga; 0.5 mi N,8,Abundant.,Asterales,Magnoliophyta,Steve Stephens,urn:uuid:191bf541-f8b1-477a-a335-67ad723c6d01,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22475756,Aphanostephus skirrhobasis var. skirrhobasis,skirrhobasis,Oklahoma,72372,1968,13
PreservedSpecimen,Arkansas dozedaisy,United States,Roger Mills,35.90417,-99.88417,6/18/1973,Asteraceae,Aphanostephus,,Antelope Hills,6,,Asterales,Magnoliophyta,George J Goodman; C Lawson,urn:uuid:4c0c59bf-2041-4591-9df6-ac2ad02b6bf9,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22491397,Aphanostephus skirrhobasis var. skirrhobasis,skirrhobasis,Oklahoma,72372,1973,18
PreservedSpecimen,Arkansas dozedaisy,United States,Oklahoma,35.471754,-97.601915,7/9/1966,Asteraceae,Aphanostephus,Sandy roadside.,W edge of Oklahoma City,7,,Asterales,Magnoliophyta,Thomas B Croat,urn:uuid:e76d6626-5d69-426e-9ead-cb49352795b5,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22493898,Aphanostephus skirrhobasis var. skirrhobasis,skirrhobasis,Oklahoma,72372,1966,9
PreservedSpecimen,Arkansas dozedaisy,United States,Grant,36.67606,-97.55611,5/27/1974,Asteraceae,Aphanostephus,Flood plain; Pond Creek. Sandy soil.,Lamont; 1 mi S,5,Common.,Asterales,Magnoliophyta,Steve Stephens,urn:uuid:fbcdd3fb-327b-49a3-9c8e-0f5023f26d11,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22494928,Aphanostephus skirrhobasis var. skirrhobasis,skirrhobasis,Oklahoma,72372,1974,27
PreservedSpecimen,Arkansas dozedaisy,United States,Cotton,34.19583,-98.57218,5/12/1968,Asteraceae,Aphanostephus,Upland prairie pasture. Sandy; red soil.,Devol; 1 mi E,5,Common.,Asterales,Magnoliophyta,Steve Stephens,urn:uuid:c68ba6cd-aa95-4217-8fc9-a92f223e4672,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22495097,Aphanostephus skirrhobasis var. skirrhobasis,skirrhobasis,Oklahoma,72372,1968,12
PreservedSpecimen,Arkansas dozedaisy,United States,Roger Mills,35.5383333,-99.7177778,5/31/2001,Asteraceae,Aphanostephus,Thurmond Ranch. Weedy; grazed; sandsage prairie on small; localized area of sand derived from Tertiary Ogallala Formation. Scattered oak mottes.,Cheyenne; 5.25 mi S; 2.5 mi W,5,Abundant. Rays white or frequently pink abaxially.,Asterales,Magnoliophyta,Caleb A Morse; Craig C Freeman,urn:uuid:e4ce5568-4041-4cd9-8b3f-740136aa12b4,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22500226,Aphanostephus skirrhobasis var. skirrhobasis,skirrhobasis,Oklahoma,72372,2001,31
PreservedSpecimen,Arkansas dozedaisy,United States,Muskogee,35.76169,-95.29477,6/17/1958,Asteraceae,Aphanostephus,In open sands of Arkansas River valley.,Fort Gibson; 3.5 mi SW,6,,Asterales,Magnoliophyta,Charles S Wallis,urn:uuid:42c3f5c6-715a-454a-b9ad-5d8faad1282a,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22503134,Aphanostephus skirrhobasis var. skirrhobasis,skirrhobasis,Oklahoma,72372,1958,17
PreservedSpecimen,Arkansas dozedaisy,United States,Jefferson,33.882257,-97.936424,5/13/1976,Asteraceae,Aphanostephus,Collected from the sand dune complex on the N side of the Red River.,Terral; ca 1 mi S,5,,Asterales,Magnoliophyta,John Taylor; Connie Taylor,urn:uuid:15d7c122-ad8c-4862-b324-cd18cbd0c302,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22503323,Aphanostephus skirrhobasis var. skirrhobasis,skirrhobasis,Oklahoma,72372,1976,13
PreservedSpecimen,Arkansas dozedaisy,United States,Cleveland,35.22241,-97.24416,7/8/1970,Asteraceae,Aphanostephus,Open woods; hillside. Oak woods. Dry; sandy; sandstone soil.,Norman; 11 mi E,7,Few plants.,Asterales,Magnoliophyta,Steve Stephens; Ralph E Brooks,urn:uuid:282e70fd-57ca-48c1-bd3e-857fdebc30ae,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22511125,Aphanostephus skirrhobasis var. skirrhobasis,skirrhobasis,Oklahoma,72372,1970,8
PreservedSpecimen,Arkansas dozedaisy,United States,Kiowa,34.91691,-99.24917,8/13/1968,Asteraceae,Aphanostephus,Around granite boulders in prairie. Dry; sandy soil.,Lone Wolf; 5 mi S,8,Common.,Asterales,Magnoliophyta,Steve Stephens,urn:uuid:a6370850-ea92-43d9-b031-4db4d0489a90,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22519032,Aphanostephus skirrhobasis var. skirrhobasis,skirrhobasis,Oklahoma,72372,1968,13
PreservedSpecimen,Arkansas dozedaisy,United States,Roger Mills,35.5458336,-99.7574997,5/30/2001,Asteraceae,Aphanostephus,Thurmond Ranch. Sandsage prairie immediately above Broken Leg Creek. Scattered oak mottes. Site at a region of contact of Tertiary Ogallala Formation and Permian Doxey Shale.,Cheyenne; 4.75 mi S; 5 mi W,5,Abundant. Rays white to pinkish; disks yellow.,Asterales,Magnoliophyta,Caleb A Morse; Craig C Freeman,urn:uuid:912e0619-857d-4fcf-8561-2c9d74bb4b35,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22519900,Aphanostephus skirrhobasis var. skirrhobasis,skirrhobasis,Oklahoma,72372,2001,30
PreservedSpecimen,Arkansas dozedaisy,United States,Grady,34.965417,-98.042319,8/14/1968,Asteraceae,Aphanostephus,Open; weedy creek bank. Dry; sandy soil.,Chickasha; 6 mi S; 6 mi W,8,Common.,Asterales,Magnoliophyta,Steve Stephens,urn:uuid:63cdcc68-d4d4-4de2-a691-e8651e7d97b7,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22530264,Aphanostephus skirrhobasis var. skirrhobasis,skirrhobasis,Oklahoma,72372,1968,14
PreservedSpecimen,Arkansas dozedaisy,United States,Caddo,34.99794,-98.20028,6/8/1959,Asteraceae,Aphanostephus,Rocky sandy prairie.,Cyril; 7 mi N,6,Common in the area.,Asterales,Magnoliophyta,Ronald L McGregor,urn:uuid:f77459d4-69ed-4ca8-b075-37f237fd40c8,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22658972,Aphanostephus skirrhobasis var. skirrhobasis,skirrhobasis,Oklahoma,72372,1959,8
PreservedSpecimen,Arkansas dozedaisy,United States,Major,36.35974,-98.72574,5/21/1951,Asteraceae,Aphanostephus,Sand.,Orienta; 14 mi W,5,Common.,Asterales,Magnoliophyta,U T Waterfall; Patsy L Coryell,urn:uuid:1b5d601f-fcb2-4d1c-9de9-368baca258eb,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22662080,Aphanostephus skirrhobasis var. skirrhobasis,skirrhobasis,Oklahoma,72372,1951,21
PreservedSpecimen,Arkansas dozedaisy,United States,Major,36.359836,-98.275509,8/12/1968,Asteraceae,Aphanostephus,Prairie-black jack oak pasture. Dry; loose sand.,Orienta; 11 mi E,8,Common.,Asterales,Magnoliophyta,Steve Stephens,urn:uuid:1a867955-ab0a-43c4-886a-98947d8ebd46,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22675490,Aphanostephus skirrhobasis var. skirrhobasis,skirrhobasis,Oklahoma,72372,1968,12
PreservedSpecimen,Arkansas dozedaisy,United States,Kingfisher,36.10883,-98.18557,5/26/1974,Asteraceae,Aphanostephus,Weedy flood plain; Cimarron River. Sandy soil.,Hennessey; 16 mi W,5,Abundant.,Asterales,Magnoliophyta,Steve Stephens,urn:uuid:45f2dcee-e9dd-4bac-b47f-5b202f38f6ac,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22700581,Aphanostephus skirrhobasis var. skirrhobasis,skirrhobasis,Oklahoma,72372,1974,26
PreservedSpecimen,Arkansas dozedaisy,United States,Alfalfa,36.88363,-98.1355,6/3/1968,Asteraceae,Aphanostephus,Upland prairie pasture. Sandhills. Dry; loose sand.,Jet; 15 mi N; 2.5 mi E,6,Common.,Asterales,Magnoliophyta,Steve Stephens; Ralph E Brooks,urn:uuid:2bfcd97b-bacd-4194-bd9a-58124a36866b,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22703520,Aphanostephus skirrhobasis var. skirrhobasis,skirrhobasis,Oklahoma,72372,1968,3
PreservedSpecimen,Arkansas dozedaisy,United States,Harper,36.601057,-99.466862,5/24/2000,Asteraceae,Aphanostephus,In sandy loam N of the North Canadian River.,T25N; R21W; sec 33,5,,Asterales,Magnoliophyta,Hillary J Loring,urn:uuid:c44d2b02-5fdf-4a8d-a423-9f68932d8930,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22704107,Aphanostephus skirrhobasis var. skirrhobasis,skirrhobasis,Oklahoma,72372,2000,24
PreservedSpecimen,Arkansas dozedaisy,United States,Harmon,34.847709,-99.977931,6/21/1970,Asteraceae,Aphanostephus,,US Highway 62; 11.25 mi N; 1.25 mi E of 100th meridian,6,,Asterales,Magnoliophyta,George J Goodman; Jim R Massey; C Lawson,urn:uuid:c5da6e89-1db1-4fa6-ba0c-4c31b94e3ca2,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22704533,Aphanostephus skirrhobasis var. skirrhobasis,skirrhobasis,Oklahoma,72372,1970,21
PreservedSpecimen,Arkansas dozedaisy,United States,Canadian,35.39956,-98.26712,5/10/1968,Asteraceae,Aphanostephus,Margin of open Black Jack Oak woods. Red sandstone soil.,Hinton; 7 mi SE,5,,Asterales,Magnoliophyta,Steve Stephens,urn:uuid:3e625d9e-6205-43ec-8ff5-cbeecc30a7cc,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22705327,Aphanostephus skirrhobasis var. skirrhobasis,skirrhobasis,Oklahoma,72372,1968,10
PreservedSpecimen,Arkansas dozedaisy,United States,Ellis,35.9063889,-99.7441667,5/29/2001,Asteraceae,Aphanostephus,Rolling sandsage prairie along roadside. Exposed sand on cut banks.,Roll; 8.7 mi N along US Hwy 283 (2.7 mi N South Canadian River crossing),5,Scattered. Rays white; disks yellow.,Asterales,Magnoliophyta,Caleb A Morse; Craig C Freeman,urn:uuid:b50439da-d192-4c10-ab20-0ab59b85fcef,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22711418,Aphanostephus skirrhobasis var. skirrhobasis,skirrhobasis,Oklahoma,72372,2001,29
PreservedSpecimen,Arkansas dozedaisy,United States,Grant,36.6904,-97.75505,5/9/1968,Asteraceae,Aphanostephus,Upland prairie pasture. Loose sand.,Lamont; 11 mi W,5,,Asterales,Magnoliophyta,Steve Stephens,urn:uuid:a43cc83c-9f87-48bb-87b8-fa7af25703ac,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22716352,Aphanostephus skirrhobasis var. skirrhobasis,skirrhobasis,Oklahoma,72372,1968,9
PreservedSpecimen,Arkansas dozedaisy,United States,Woodward,36.47712,-99.39,5/30/1977,Asteraceae,Aphanostephus,Sandy roadside.,Woodward; 3 mi N,5,,Asterales,Magnoliophyta,Tim Springer,urn:uuid:9f03b3ff-28c6-4a76-a97a-1a336010e326,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22718475,Aphanostephus skirrhobasis var. skirrhobasis,skirrhobasis,Oklahoma,72372,1977,30
PreservedSpecimen,clasping milkweed,United States,Payne,35.9738889,-97.0333333,5/9/1951,Asclepiadaceae,Asclepias,Sandy soil; Edge of oak woods.,2 mi. East of Perkins Corner.,5,L/L from GNIS.,Gentianales,Magnoliophyta,P.L. Coryell,urn:uuid:186e2059-caac-440d-b52b-63ebd41f274b,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=196973,Asclepias amplexicaulis,amplexicaulis,Oklahoma,73271,1951,9
PreservedSpecimen,clasping milkweed,United States,Dewey,35.92782,-99.14603,6/8/2000,Apocynaceae,Asclepias,On roadside in redbed and gypsum. [Label says Wells but collections were made W of Webb; changed in database. 6 February 2019. Craig C. Freeman],Webb; 0.75 mi W,6,,Gentianales,Magnoliophyta,Hillary J Loring; Kelly Kindscher,urn:uuid:ad3a8c7e-3e6b-447b-8b23-c2c964112f68,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22708978,Asclepias amplexicaulis,amplexicaulis,Oklahoma,73271,2000,8
PreservedSpecimen,sand milkweed,United States,Major,36.25265,-98.92056,8/12/1968,Apocynaceae,Asclepias,Prairie pasture hilltop. Dry; loose sand.,Chester; 2.5 mi N,8,Few plants.,Gentianales,Magnoliophyta,Steve Stephens,urn:uuid:aa3e28b4-9c73-4967-b659-434768ee9f81,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22477833,Asclepias arenaria,arenaria,Oklahoma,17913,1968,12
PreservedSpecimen,sand milkweed,United States,Woods,36.54596,-98.87944,8/4/1988,Apocynaceae,Asclepias,Area of sand dunes. Low area between dunes.,Waynoka; 2.5 mi S,8,Scattered.,Gentianales,Magnoliophyta,Ronald L McGregor,urn:uuid:07cb8919-8db1-4643-96d3-85b6478c4581,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22615400,Asclepias arenaria,arenaria,Oklahoma,17913,1988,4
